event_id,timestamp,source_ip,endpoint,attack_type,severity,payload_sample,detected_by_ruleset
evt_02119,2026-08-01 21:08:33,179.24.52.100,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00085,2026-08-01 21:15:24,135.88.171.181,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_01348,2026-08-01 21:28:53,205.54.237.107,/api/v1/users,none,low,-,0
evt_01239,2026-08-01 21:41:36,102.52.48.17,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_01014,2026-08-01 21:47:47,96.112.244.69,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00200,2026-08-01 22:58:21,82.113.53.240,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00585,2026-08-01 23:57:54,93.125.15.53,/admin/login,brute_force,high,username=admin&password={guess},1
evt_02318,2026-08-02 00:01:43,129.179.253.107,/api/v1/users,none,low,-,0
evt_01591,2026-08-02 00:12:16,148.251.160.134,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00652,2026-08-02 00:21:12,192.207.120.234,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_00423,2026-08-02 02:31:48,179.24.52.100,/admin/login,none,low,-,0
evt_01766,2026-08-02 02:35:11,71.195.23.198,/config/exposed.env,none,low,-,0
evt_00412,2026-08-02 03:11:41,209.176.153.218,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01213,2026-08-02 04:10:29,133.138.32.132,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01751,2026-08-02 04:28:13,50.78.229.74,/search,xss,high,q=<script>alert(1)</script>,1
evt_01705,2026-08-02 04:48:01,32.249.3.40,/config/exposed.env,none,low,-,0
evt_01403,2026-08-02 06:20:50,41.54.179.133,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00775,2026-08-02 06:42:00,209.169.90.253,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_00067,2026-08-02 06:58:21,168.21.61.69,/admin/login,none,low,-,0
evt_01297,2026-08-02 07:15:22,75.91.81.197,/api/v1/users,none,low,-,0
evt_00044,2026-08-02 07:21:49,167.37.249.151,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_00518,2026-08-02 07:22:12,146.56.123.102,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01088,2026-08-02 07:58:32,214.44.73.54,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00740,2026-08-02 08:03:57,120.1.57.72,/search,sqli,critical,q=' OR '1'='1' --,1
evt_01594,2026-08-02 08:15:27,216.255.169.4,/admin/login,none,low,-,0
evt_02203,2026-08-02 09:02:09,53.132.50.33,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_02468,2026-08-02 09:44:44,80.161.83.33,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_00246,2026-08-02 10:19:17,73.195.214.248,/upload,none,low,-,0
evt_00591,2026-08-02 10:50:37,1.91.60.16,/admin/login,brute_force,high,username=admin&password={guess},1
evt_02414,2026-08-02 11:18:00,147.252.76.244,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00969,2026-08-02 11:46:56,55.10.25.202,/search,xss,high,q=<script>alert(1)</script>,1
evt_01645,2026-08-02 12:31:39,73.120.76.174,/config/exposed.env,none,low,-,0
evt_00879,2026-08-02 13:09:03,159.124.81.250,/config/exposed.env,none,low,-,0
evt_01824,2026-08-02 13:21:20,96.94.118.69,/search,none,low,-,0
evt_00210,2026-08-02 13:52:16,215.53.45.167,/config/exposed.env,none,low,-,0
evt_01756,2026-08-02 14:12:06,179.24.52.100,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_02287,2026-08-02 15:03:54,216.255.169.4,/admin/login,none,low,-,0
evt_01161,2026-08-02 15:23:10,202.111.95.245,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_02021,2026-08-02 15:31:36,76.250.149.79,/search,xss,high,q=<script>alert(1)</script>,1
evt_00475,2026-08-02 15:57:33,82.113.53.240,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01365,2026-08-02 16:04:05,205.54.237.107,/search,none,low,-,0
evt_02249,2026-08-02 16:06:08,53.87.107.213,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00662,2026-08-02 16:36:46,32.249.3.40,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_01609,2026-08-02 16:42:25,22.150.225.127,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00521,2026-08-02 16:55:10,50.78.229.74,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00562,2026-08-02 17:08:17,168.116.26.150,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01549,2026-08-02 17:39:06,153.107.150.96,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_01518,2026-08-02 17:52:58,82.113.53.240,/config/exposed.env,none,low,-,0
evt_02191,2026-08-02 18:21:59,73.195.214.248,/config/exposed.env,none,low,-,0
evt_00391,2026-08-02 18:36:21,172.234.228.95,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00673,2026-08-02 18:38:19,168.116.26.150,/api/v1/users,none,low,-,0
evt_00448,2026-08-02 18:44:26,159.124.81.250,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01080,2026-08-02 18:58:44,119.90.150.195,/upload,none,low,-,0
evt_00957,2026-08-02 19:24:01,75.91.81.197,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01075,2026-08-02 19:54:55,148.183.140.112,/admin/login,none,low,-,0
evt_00513,2026-08-02 20:02:24,177.53.25.238,/search,xss,high,q=<script>alert(1)</script>,1
evt_02227,2026-08-02 21:53:36,104.30.159.119,/admin/login,brute_force,high,username=admin&password={guess},1
evt_02083,2026-08-02 22:43:20,216.255.169.4,/admin/login,none,low,-,0
evt_02331,2026-08-02 22:55:36,177.53.25.238,/api/v1/users,none,low,-,0
evt_02186,2026-08-02 23:02:59,73.195.214.248,/admin/login,none,low,-,0
evt_00283,2026-08-02 23:38:07,195.115.148.90,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01138,2026-08-03 01:27:22,139.193.235.121,/search,xss,high,q=<script>alert(1)</script>,1
evt_02323,2026-08-03 02:01:55,147.252.76.244,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00311,2026-08-03 02:33:35,37.131.14.142,/admin/login,none,low,-,0
evt_00309,2026-08-03 03:02:46,51.234.58.68,/config/exposed.env,none,low,-,0
evt_00303,2026-08-03 03:30:36,50.78.229.74,/config/exposed.env,none,low,-,0
evt_00971,2026-08-03 03:57:57,55.10.25.202,/search,none,low,-,0
evt_01606,2026-08-03 04:46:41,9.251.149.159,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01357,2026-08-03 05:57:25,21.214.161.240,/admin/login,none,low,-,0
evt_00093,2026-08-03 06:02:13,177.53.25.238,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01109,2026-08-03 06:16:04,16.186.59.162,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_02045,2026-08-03 06:50:32,171.99.26.27,/config/exposed.env,none,low,-,0
evt_01242,2026-08-03 07:16:36,75.91.81.197,/config/exposed.env,none,low,-,0
evt_00728,2026-08-03 07:30:36,32.249.3.40,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_01152,2026-08-03 08:06:27,8.167.82.176,/admin/login,none,low,-,0
evt_00410,2026-08-03 08:19:46,131.12.158.4,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00533,2026-08-03 09:43:45,212.69.142.217,/admin/login,none,low,-,0
evt_01171,2026-08-03 10:20:10,120.215.9.242,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_02443,2026-08-03 10:21:45,134.190.152.25,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01155,2026-08-03 10:22:33,215.53.45.167,/search,sqli,critical,q=' OR '1'='1' --,1
evt_02412,2026-08-03 10:39:02,9.104.217.143,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_02418,2026-08-03 10:58:08,215.53.45.167,/api/v1/users,none,low,-,0
evt_00121,2026-08-03 11:36:30,148.251.160.134,/search,none,low,-,0
evt_00028,2026-08-03 11:51:09,98.135.129.136,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_02113,2026-08-03 12:06:24,191.191.69.176,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00477,2026-08-03 12:15:55,38.31.72.44,/api/v1/users,none,low,-,0
evt_00915,2026-08-03 12:47:25,9.251.149.159,/admin/login,none,low,-,0
evt_00977,2026-08-03 13:58:24,216.255.169.4,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_00204,2026-08-03 14:24:30,9.104.217.143,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_00889,2026-08-03 14:35:20,159.124.81.250,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01839,2026-08-03 15:04:13,223.245.34.91,/admin/login,brute_force,high,username=admin&password={guess},1
evt_02306,2026-08-03 15:13:38,50.78.229.74,/search,xss,high,q=<script>alert(1)</script>,1
evt_00699,2026-08-03 15:59:39,177.53.25.238,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01071,2026-08-03 16:35:41,102.52.48.17,/api/v1/users,none,low,-,0
evt_00284,2026-08-03 16:38:36,206.188.133.117,/search,sqli,critical,q=' OR '1'='1' --,1
evt_01854,2026-08-03 16:53:16,214.44.73.54,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00345,2026-08-03 17:11:33,223.245.34.91,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00634,2026-08-03 18:09:40,2.117.20.57,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00537,2026-08-03 18:10:59,21.214.161.240,/search,xss,high,q=<script>alert(1)</script>,1
evt_00947,2026-08-03 18:28:15,168.116.26.150,/config/exposed.env,none,low,-,0
evt_01743,2026-08-03 19:11:52,44.171.161.221,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_00817,2026-08-03 19:55:24,142.168.22.35,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01881,2026-08-03 20:04:10,131.12.158.4,/api/v1/users,none,low,-,0
evt_02002,2026-08-03 20:31:27,212.69.142.217,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_00128,2026-08-03 20:37:05,96.39.27.193,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_00148,2026-08-03 20:54:41,159.124.81.250,/config/exposed.env,none,low,-,0
evt_00365,2026-08-03 21:19:20,28.198.108.117,/api/v1/users,none,low,-,0
evt_00839,2026-08-03 21:33:24,29.30.71.38,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00683,2026-08-03 21:39:19,205.54.237.107,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00721,2026-08-03 22:29:10,153.107.150.96,/config/exposed.env,none,low,-,0
evt_01806,2026-08-03 22:31:02,179.24.52.100,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_02104,2026-08-03 23:25:27,179.24.52.100,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00483,2026-08-03 23:27:46,170.161.61.23,/api/v1/users,none,low,-,0
evt_01184,2026-08-03 23:46:49,215.53.45.167,/search,none,low,-,0
evt_01773,2026-08-04 00:05:09,9.104.217.143,/search,sqli,critical,q=' OR '1'='1' --,1
evt_01845,2026-08-04 00:28:50,171.12.15.22,/config/exposed.env,none,low,-,0
evt_00218,2026-08-04 00:37:02,55.10.25.202,/config/exposed.env,none,low,-,0
evt_00243,2026-08-04 00:51:10,127.64.158.178,/search,none,low,-,0
evt_00678,2026-08-04 01:09:32,16.164.241.219,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00354,2026-08-04 01:11:08,117.13.83.128,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00758,2026-08-04 01:39:28,177.53.25.238,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_00051,2026-08-04 02:07:07,147.252.76.244,/search,sqli,critical,q=' OR '1'='1' --,1
evt_01187,2026-08-04 02:08:21,75.91.81.197,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01911,2026-08-04 02:22:05,215.53.45.167,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01731,2026-08-04 02:39:20,105.159.94.222,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_01830,2026-08-04 03:21:28,202.111.95.245,/api/v1/users,none,low,-,0
evt_00528,2026-08-04 03:47:07,129.238.137.145,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_00785,2026-08-04 05:31:26,181.162.97.216,/admin/login,none,low,-,0
evt_02006,2026-08-04 05:38:36,69.2.168.249,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_02483,2026-08-04 06:27:11,144.198.34.177,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01170,2026-08-04 06:33:33,179.24.52.100,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00661,2026-08-04 06:36:58,120.1.57.72,/search,none,low,-,0
evt_01850,2026-08-04 07:22:23,34.235.122.206,/admin/login,brute_force,high,username=admin&password={guess},1
evt_02357,2026-08-04 07:30:27,82.113.53.240,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01913,2026-08-04 08:03:25,202.111.95.245,/api/v1/users,none,low,-,0
evt_00794,2026-08-04 08:13:07,50.78.229.74,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00324,2026-08-04 08:26:09,52.12.197.214,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_01473,2026-08-04 08:38:12,61.101.226.173,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01567,2026-08-04 08:56:17,6.17.102.87,/api/v1/users,none,low,-,0
evt_00432,2026-08-04 09:12:55,20.166.111.136,/admin/login,none,low,-,0
evt_01899,2026-08-04 09:44:26,102.62.14.152,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00589,2026-08-04 11:04:05,183.251.148.122,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_01230,2026-08-04 11:34:11,181.162.97.216,/search,none,low,-,0
evt_00550,2026-08-04 13:17:31,41.112.93.110,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01562,2026-08-04 13:34:59,9.104.217.143,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00010,2026-08-04 14:10:37,147.252.76.244,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01521,2026-08-04 14:33:00,51.104.184.55,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00082,2026-08-04 14:47:27,177.53.25.238,/admin/login,none,low,-,0
evt_02224,2026-08-04 14:50:52,37.247.114.41,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00960,2026-08-04 15:11:08,9.251.149.159,/api/v1/users,none,low,-,0
evt_00274,2026-08-04 15:49:12,21.125.213.123,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00569,2026-08-04 15:55:20,181.162.97.216,/api/v1/users,none,low,-,0
evt_00201,2026-08-04 16:20:09,62.195.68.67,/api/v1/users,none,low,-,0
evt_00102,2026-08-04 16:23:10,151.130.55.128,/api/v1/users,none,low,-,0
evt_00237,2026-08-04 17:42:31,54.49.153.119,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00353,2026-08-04 17:48:58,148.251.160.134,/api/v1/users,none,low,-,0
evt_01284,2026-08-04 18:19:41,153.107.150.96,/api/v1/users,none,low,-,0
evt_01934,2026-08-04 18:29:27,125.178.59.9,/admin/login,none,low,-,0
evt_00185,2026-08-04 18:45:06,49.102.48.138,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_02365,2026-08-04 19:34:29,7.96.236.51,/search,none,low,-,0
evt_01626,2026-08-04 19:37:35,190.5.119.229,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_01412,2026-08-04 19:47:17,50.78.229.74,/search,sqli,critical,q=' OR '1'='1' --,1
evt_01581,2026-08-04 20:32:13,148.251.160.134,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00075,2026-08-04 20:44:54,223.245.34.91,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01379,2026-08-04 20:58:22,177.53.25.238,/search,none,low,-,0
evt_02200,2026-08-04 21:00:00,86.124.57.148,/search,sqli,critical,q=' OR '1'='1' --,1
evt_02271,2026-08-04 21:39:16,97.104.240.162,/search,none,low,-,0
evt_00845,2026-08-04 22:19:05,81.207.143.199,/admin/login,none,low,-,0
evt_01696,2026-08-04 23:04:20,50.78.229.74,/admin/login,none,low,-,0
evt_00326,2026-08-05 00:15:12,9.251.149.159,/admin/login,none,low,-,0
evt_02441,2026-08-05 00:38:19,110.240.240.40,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00394,2026-08-05 01:08:23,214.44.73.54,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00156,2026-08-05 01:17:08,205.54.237.107,/search,sqli,critical,q=' OR '1'='1' --,1
evt_01713,2026-08-05 01:31:22,9.251.149.159,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_01449,2026-08-05 01:45:41,159.124.81.250,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00145,2026-08-05 01:59:59,168.116.26.150,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_01607,2026-08-05 02:07:40,205.54.237.107,/search,none,low,-,0
evt_00563,2026-08-05 02:17:06,223.245.34.91,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_01587,2026-08-05 02:22:03,77.120.220.60,/search,xss,high,q=<script>alert(1)</script>,1
evt_02498,2026-08-05 02:25:53,21.214.161.240,/search,xss,high,q=<script>alert(1)</script>,1
evt_01279,2026-08-05 02:34:48,214.44.73.54,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_02058,2026-08-05 02:36:46,22.124.19.165,/admin/login,none,low,-,0
evt_00651,2026-08-05 03:23:22,147.252.76.244,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_00238,2026-08-05 03:23:40,28.248.98.26,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00214,2026-08-05 03:27:06,9.251.149.159,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_01788,2026-08-05 03:29:16,51.163.6.132,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_00816,2026-08-05 03:42:58,160.182.94.57,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01046,2026-08-05 04:10:09,32.249.3.40,/api/v1/users,none,low,-,0
evt_01951,2026-08-05 05:29:27,22.98.126.95,/search,none,low,-,0
evt_01150,2026-08-05 05:36:12,209.169.90.253,/api/v1/users,none,low,-,0
evt_01012,2026-08-05 06:02:16,147.252.76.244,/api/v1/users,none,low,-,0
evt_02454,2026-08-05 07:16:20,142.70.82.55,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01838,2026-08-05 07:55:31,80.98.214.165,/admin/login,none,low,-,0
evt_01499,2026-08-05 08:45:44,102.52.48.17,/search,none,low,-,0
evt_01407,2026-08-05 08:53:25,209.169.90.253,/admin/login,none,low,-,0
evt_00697,2026-08-05 09:01:17,73.195.214.248,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_00155,2026-08-05 09:11:54,55.10.25.202,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00686,2026-08-05 09:30:13,75.55.233.59,/admin/login,none,low,-,0
evt_01054,2026-08-05 10:30:09,181.162.97.216,/admin/login,none,low,-,0
evt_01393,2026-08-05 10:55:35,168.116.26.150,/admin/login,none,low,-,0
evt_00005,2026-08-05 11:00:04,133.189.141.241,/admin/login,none,low,-,0
evt_00014,2026-08-05 11:00:10,85.219.126.172,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_01761,2026-08-05 11:08:08,147.252.76.244,/config/exposed.env,none,low,-,0
evt_00118,2026-08-05 11:40:48,9.104.217.143,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_00479,2026-08-05 12:33:20,12.226.179.166,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01679,2026-08-05 12:46:42,115.54.82.102,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01299,2026-08-05 12:55:13,102.52.48.17,/search,none,low,-,0
evt_01087,2026-08-05 12:56:46,51.234.58.68,/api/v1/users,none,low,-,0
evt_02022,2026-08-05 14:09:07,213.86.204.104,/search,sqli,critical,q=' OR '1'='1' --,1
evt_01551,2026-08-05 14:51:37,202.111.95.245,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00975,2026-08-05 15:02:56,212.69.142.217,/api/v1/users,none,low,-,0
evt_01107,2026-08-05 16:07:06,21.214.161.240,/api/v1/users,api_enumeration,medium,GET /api/v1/users?id={n},1
evt_01310,2026-08-05 16:37:17,120.95.98.133,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_00073,2026-08-05 16:43:11,179.24.52.100,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_00307,2026-08-05 16:50:46,212.69.142.217,/admin/login,none,low,-,0
evt_00334,2026-08-05 17:45:17,121.26.15.136,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_02005,2026-08-05 18:04:53,223.245.34.91,/upload,none,low,-,0
evt_00940,2026-08-05 18:17:26,9.104.217.143,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00868,2026-08-05 19:10:47,52.239.215.3,/admin/login,none,low,-,0
evt_01999,2026-08-05 19:44:49,147.252.76.244,/search,none,low,-,0
evt_02225,2026-08-05 20:03:42,69.2.168.249,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00616,2026-08-05 20:33:32,32.249.3.40,/search,xss,high,q=<script>alert(1)</script>,1
evt_01158,2026-08-05 21:06:02,21.214.161.240,/api/v1/users,none,low,-,0
evt_02018,2026-08-05 21:25:14,21.214.161.240,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_00597,2026-08-05 21:53:46,73.195.214.248,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00823,2026-08-05 21:58:28,8.0.138.92,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01803,2026-08-05 22:21:23,21.214.161.240,/search,none,low,-,0
evt_00421,2026-08-05 22:31:54,109.17.138.191,/upload,malicious_file_upload,critical,filename=shell.php.jpg,1
evt_02437,2026-08-05 22:33:10,75.91.81.197,/admin/login,none,low,-,0
evt_02101,2026-08-05 22:40:45,202.111.95.245,/config/exposed.env,none,low,-,0
evt_01516,2026-08-05 22:44:36,91.208.153.179,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01786,2026-08-05 22:52:11,214.44.73.54,/upload,none,low,-,0
evt_01906,2026-08-05 23:12:45,51.234.58.68,/admin/login,none,low,-,0
evt_01381,2026-08-05 23:59:16,205.54.237.107,/search,none,low,-,0
evt_01330,2026-08-06 00:08:56,139.51.132.72,/api/v1/users,none,low,-,0
evt_01633,2026-08-06 00:36:44,131.12.158.4,/api/v1/users,none,low,-,0
evt_01276,2026-08-06 00:53:49,171.12.15.22,/config/exposed.env,none,low,-,0
evt_02330,2026-08-06 01:25:04,101.53.129.174,/search,none,low,-,0
evt_01364,2026-08-06 01:53:21,2.117.20.57,/search,sqli,critical,q=' OR '1'='1' --,1
evt_01457,2026-08-06 02:31:10,131.12.158.4,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
evt_02466,2026-08-06 02:43:02,212.69.142.217,/search,sqli,critical,q=' OR '1'='1' --,1
evt_00137,2026-08-06 03:10:34,91.106.200.14,/admin/login,credential_stuffing,high,username={user}&password={leaked_pw},1
evt_01877,2026-08-06 04:18:37,177.53.25.238,/admin/login,brute_force,high,username=admin&password={guess},1
evt_02145,2026-08-06 04:33:26,216.255.169.4,/admin/login,brute_force,high,username=admin&password={guess},1
evt_01007,2026-08-06 04:57:57,124.29.242.206,/config/exposed.env,config_exposure_probe,medium,GET /config/exposed.env HTTP/1.1,1
evt_00791,2026-08-06 04:58:40,183.223.60.73,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00906,2026-08-06 05:52:36,121.147.228.53,/search,none,low,-,0
evt_00450,2026-08-06 06:32:07,55.10.25.202,/admin/login,brute_force,high,username=admin&password={guess},1
evt_00934,2026-08-06 06:44:47,92.139.10.105,/api/v1/users,idor_probe,high,GET /api/v1/users?id={n}&token=none,1
